from_machine,to_machine,with_handling_sec
M5,M31,162.784
M5,M32,173.784
M5,M33,184.784
M5,M34,195.784
M5,M35,166.753
M5,M36,196.346
M5,M37,207.346
M5,M38,218.346
M5,M39,229.346
M5,M40,201.177
M5,M41,180.384
M5,M42,191.384
M5,M43,202.384
M5,M44,213.384
M5,M45,217.138
M5,M46,246.73
M5,M47,257.73
M5,M48,268.73
M5,M49,279.73
M5,M50,290.73
M5,M51,232.538
M5,M52,243.538
M5,M53,254.538
M5,M54,265.538
M5,M55,276.538
M5,M56,306.13
M5,M57,303.93
M5,M58,314.93
M5,M59,325.93
M5,M60,270.93
M5,M61,250.138
M5,M62,261.138
M5,M63,272.138
M5,M64,283.138
M5,M65,294.138
M5,M66,323.73
M5,M67,321.53
M5,M68,332.53
M5,M69,343.53
M5,M70,288.53
M5,M71,267.738
M5,M72,278.738
M5,M73,289.738
M5,M74,300.738
M5,M75,311.738
M5,M76,341.33
M5,M77,339.13
M5,M78,350.13
M5,M79,361.13
M5,M80,306.13
M5,M81,285.338
M5,M82,296.338
M5,M83,307.338
M5,M84,318.338
M5,M85,329.338
M5,M86,358.93
M5,M87,356.73
M5,M88,367.73
M5,M89,378.73
M5,M90,323.73
M5,M91,302.938
M5,M92,313.938
M5,M93,324.938
M5,M94,335.938
M5,M95,346.938
M5,M96,333.314
M5,M97,344.314
M5,M98,355.314
M5,M99,366.314
M5,M100,377.314
M6,M1,284.683
M6,M2,295.683
M6,M3,306.683
M6,M4,317.683
M6,M5,328.683
M6,M7,31.0
M6,M8,42.0
M6,M9,53.0
M6,M10,64.0
M6,M11,97.992
M6,M12,108.992
M6,M13,80.392
M6,M14,91.392
M6,M15,102.392
M6,M16,131.984
M6,M17,142.984
M6,M18,153.984
M6,M19,164.984
M6,M20,136.384
M6,M21,115.592
M6,M22,126.592
M6,M23,137.592
M6,M24,148.592
M6,M25,152.777
M6,M26,182.369
M6,M27,186.984
M6,M28,197.984
M6,M29,208.984
M6,M30,153.984
M6,M31,133.192
M6,M32,144.192
M6,M33,155.192
M6,M34,166.192
M6,M35,177.192
M6,M36,206.784
M6,M37,204.584
M6,M38,215.584
M6,M39,226.584
M6,M40,171.584
M6,M41,150.792
M6,M42,161.792
M6,M43,172.792
M6,M44,183.792
M6,M45,194.792
M6,M46,224.384
M6,M47,235.384
M6,M48,246.384
M6,M49,257.384
M6,M50,268.384
M6,M51,202.945
M6,M52,213.945
M6,M53,224.945
M6,M54,235.945
M6,M55,246.945
M6,M56,276.538
M6,M57,274.338
M6,M58,285.338
M6,M59,296.338
M6,M60,241.338
M6,M61,220.545
M6,M62,231.545
M6,M63,242.545
M6,M64,253.545
M6,M65,264.545
M6,M66,294.138
M6,M67,291.938
M6,M68,302.938
M6,M69,313.938
M6,M70,258.938
M6,M71,238.145
M6,M72,249.145
M6,M73,260.145
M6,M74,271.145
M6,M75,282.145
M6,M76,311.738
M6,M77,309.538
M6,M78,320.538
M6,M79,331.538
M6,M80,276.538
M6,M81,255.745
M6,M82,266.745
M6,M83,277.745
M6,M84,288.745
M6,M85,299.745
M6,M86,329.338
M6,M87,327.138
M6,M88,338.138
M6,M89,349.138
M6,M90,294.138
M6,M91,273.345
M6,M92,284.345
M6,M93,295.345
M6,M94,306.345
M6,M95,317.345
M6,M96,346.938
M6,M97,357.938
M6,M98,368.938
M6,M99,379.938
M6,M100,390.938
M7,M1,273.683
M7,M2,284.683
M7,M3,295.683
M7,M4,306.683
M7,M5,317.683
M7,M6,161.93
M7,M8,31.0
M7,M9,42.0
M7,M10,53.0
M7,M11,86.992
M7,M12,97.992
M7,M13,69.392
M7,M14,80.392
M7,M15,91.392
M7,M16,120.984
M7,M17,131.984
M7,M18,142.984
M7,M19,153.984
M7,M20,125.384
M7,M21,104.592
M7,M22,115.592
M7,M23,126.592
M7,M24,137.592
M7,M25,141.777
M7,M26,171.369
M7,M27,175.984
M7,M28,186.984
M7,M29,197.984
M7,M30,142.984
M7,M31,122.192
M7,M32,133.192
M7,M33,144.192
M7,M34,155.192
M7,M35,166.192
M7,M36,195.784
M7,M37,193.584
M7,M38,204.584
M7,M39,215.584
M7,M40,160.584
M7,M41,139.792
M7,M42,150.792
M7,M43,161.792
M7,M44,172.792
M7,M45,183.792
M7,M46,213.384
M7,M47,224.384
M7,M48,235.384
M7,M49,246.384
M7,M50,257.384
M7,M51,191.945
M7,M52,202.945
M7,M53,213.945
M7,M54,224.945
M7,M55,235.945
M7,M56,265.538
M7,M57,263.338
M7,M58,274.338
M7,M59,285.338
M7,M60,230.338
M7,M61,209.545
M7,M62,220.545
M7,M63,231.545
M7,M64,242.545
M7,M65,253.545
M7,M66,283.138
M7,M67,280.938
M7,M68,291.938
M7,M69,302.938
M7,M70,247.938
M7,M71,227.145
M7,M72,238.145
M7,M73,249.145
M7,M74,260.145
M7,M75,271.145
M7,M76,300.738
M7,M77,298.538
M7,M78,309.538
M7,M79,320.538
M7,M80,265.538
M7,M81,244.745
M7,M82,255.745
M7,M83,266.745
M7,M84,277.745
M7,M85,288.745
M7,M86,318.338
M7,M87,316.138
M7,M88,327.138
M7,M89,338.138
M7,M90,283.138
M7,M91,262.345
M7,M92,273.345
M7,M93,284.345
M7,M94,295.345
M7,M95,306.345
M7,M96,335.938
M7,M97,346.938
M7,M98,357.938
M7,M99,368.938
M7,M100,379.938
M8,M1,262.683
M8,M2,273.683
M8,M3,284.683
M8,M4,295.683
M8,M5,306.683
M8,M6,150.93
M8,M7,90.184
M8,M9,31.0
M8,M10,42.0
M8,M11,75.992
M8,M12,86.992
M8,M13,58.392
M8,M14,69.392
M8,M15,80.392
M8,M16,109.984
M8,M17,120.984
M8,M18,131.984
M8,M19,142.984
M8,M20,114.384
M8,M21,93.592
M8,M22,104.592
M8,M23,115.592
M8,M24,126.592
M8,M25,130.777
M8,M26,160.369
M8,M27,164.984
M8,M28,175.984
M8,M29,186.984
M8,M30,131.984
M8,M31,111.192
M8,M32,122.192
M8,M33,133.192
M8,M34,144.192
M8,M35,155.192
M8,M36,184.784
M8,M37,182.584
M8,M38,193.584
M8,M39,204.584
M8,M40,149.584
M8,M41,128.792
M8,M42,139.792
M8,M43,150.792
M8,M44,161.792
M8,M45,172.792
M8,M46,202.384
M8,M47,213.384
M8,M48,224.384
M8,M49,235.384
M8,M50,246.384
M8,M51,180.945
M8,M52,191.945
M8,M53,202.945
M8,M54,213.945
M8,M55,224.945
M8,M56,254.538
M8,M57,252.338
M8,M58,263.338
M8,M59,274.338
M8,M60,219.338
M8,M61,198.545
M8,M62,209.545
M8,M63,220.545
M8,M64,231.545
M8,M65,242.545
M8,M66,272.138
M8,M67,269.938
M8,M68,280.938
M8,M69,291.938
M8,M70,236.938
M8,M71,216.145
M8,M72,227.145
M8,M73,238.145
M8,M74,249.145
M8,M75,260.145
M8,M76,289.738
M8,M77,287.538
M8,M78,298.538
M8,M79,309.538
M8,M80,254.538
M8,M81,233.745
M8,M82,244.745
M8,M83,255.745
M8,M84,266.745
M8,M85,277.745
M8,M86,307.338
M8,M87,305.138
M8,M88,316.138
M8,M89,327.138
M8,M90,272.138
M8,M91,251.345
M8,M92,262.345
M8,M93,273.345
M8,M94,284.345
M8,M95,295.345
M8,M96,324.938
M8,M97,335.938
M8,M98,346.938
M8,M99,357.938
M8,M100,368.938
M9,M1,291.283
M9,M2,302.283
M9,M3,313.283
M9,M4,324.283
M9,M5,335.283
M9,M6,179.53
M9,M7,118.784
M9,M8,129.784
M9,M10,31.0
M9,M11,64.992
M9,M12,75.992
M9,M13,86.992
M9,M14,97.992
M9,M15,108.992
M9,M16,138.584
M9,M17,136.384
M9,M18,147.384
M9,M19,158.384
M9,M20,103.384
M9,M21,82.592
M9,M22,93.592
M9,M23,104.592
M9,M24,115.592
M9,M25,126.592
M9,M26,156.184
M9,M27,153.984
M9,M28,164.984
M9,M29,175.984
M9,M30,120.984
M9,M31,100.192
M9,M32,111.192
M9,M33,122.192
M9,M34,133.192
M9,M35,144.192
M9,M36,173.784
M9,M37,171.584
M9,M38,182.584
M9,M39,193.584
M9,M40,138.584
M9,M41,117.792
M9,M42,128.792
M9,M43,139.792
M9,M44,150.792
M9,M45,161.792
M9,M46,191.384
M9,M47,202.384
M9,M48,213.384
M9,M49,224.384
M9,M50,235.384
M9,M51,169.945
M9,M52,180.945
M9,M53,191.945
M9,M54,202.945
M9,M55,213.945
M9,M56,243.538
M9,M57,241.338
M9,M58,252.338
M9,M59,263.338
M9,M60,208.338
M9,M61,187.545
M9,M62,198.545
M9,M63,209.545
M9,M64,220.545
M9,M65,231.545
M9,M66,261.138
M9,M67,258.938
