task_id,lot_id,from_step_no,to_step_no,source_machine,source_group,source_bay,dest_machine,dest_group,dest_bay,planned_ready_sec,planned_due_sec,planned_avg_travel_sec,planned_slack_sec
T0000124,L00004,13,14,M68,CMP_C,Bay7,M77,METRO_C,Bay8,7526.103,7717.999,110.0,81.89599999999973
T0000125,L00004,14,15,M77,METRO_C,Bay8,M42,PHOTO_B,Bay5,7962.499,10227.0,330.0,1934.5010000000002
T0000126,L00004,15,16,M42,PHOTO_B,Bay5,M53,PHOTO_C,Bay6,10617.75,12818.25,110.0,2090.5
T0000127,L00004,16,17,M53,PHOTO_C,Bay6,M55,ETCH_C,Bay6,12924.75,13186.388,65.0,196.63800000000083
T0000128,L00004,17,18,M55,ETCH_C,Bay6,M32,CVD_B,Bay4,13289.888,13993.5,220.0,483.61199999999917
T0000129,L00004,18,19,M32,CVD_B,Bay4,M29,METRO_A,Bay3,14157.75,14258.856,110.0,-8.894000000000233
T0000130,L00004,19,20,M29,METRO_A,Bay3,M82,CVD_D,Bay9,14440.356,15142.5,440.0,262.14400000000023
T0000131,L00004,20,21,M82,CVD_D,Bay9,M79,IMP_D,Bay8,15307.5,15392.292,110.0,-25.20800000000054
T0000132,L00004,21,22,M79,IMP_D,Bay8,M10,CMP_A,Bay1,15861.042,16034.18,330.0,-156.86199999999917
T0000133,L00004,22,23,M10,CMP_A,Bay1,M54,PHOTO_C,Bay6,16214.18,19268.25,550.0,2504.0699999999997
T0000134,L00004,23,24,M54,PHOTO_C,Bay6,M58,ETCH_C,Bay6,19944.75,20027.342,65.0,17.592000000000553
T0000135,L00004,24,25,M58,ETCH_C,Bay6,M75,METRO_C,Bay8,20198.342,20335.934,220.0,-82.40799999999945
T0000136,L00004,25,26,M75,METRO_C,Bay8,M12,CVD_A,Bay2,20547.434,20773.372,440.0,-214.06200000000172
T0000137,L00004,26,27,M12,CVD_A,Bay2,M20,IMP_A,Bay2,21047.872,21174.464,65.0,61.59200000000055
T0000138,L00004,27,28,M20,IMP_A,Bay2,M66,CMP_C,Bay7,21316.214,21548.752,550.0,-317.46199999999953
T0000139,L00004,28,29,M66,CMP_C,Bay7,M52,PHOTO_C,Bay6,21982.252,25218.75,110.0,3126.4979999999996
T0000140,L00004,29,30,M52,PHOTO_C,Bay6,M57,ETCH_C,Bay6,25412.25,25563.842,65.0,86.59200000000055
T0000141,L00004,30,31,M57,ETCH_C,Bay6,M64,CVD_C,Bay7,26097.842,26207.422,110.0,-0.42000000000189175
T0000142,L00004,31,32,M64,CVD_C,Bay7,M86,IMP_E,Bay9,26688.172,26906.842,220.0,-1.3299999999981083
T0000143,L00004,32,33,M86,IMP_E,Bay9,M97,METRO_D,Bay10,27080.842,27223.826,110.0,32.98400000000038
T0000144,L00004,33,34,M97,METRO_D,Bay10,M99,IMP_F,Bay10,27415.826,27457.826,65.0,-23.0
T0000145,L00004,34,35,M99,IMP_F,Bay10,M44,PHOTO_B,Bay5,27594.326,30584.25,550.0,2439.923999999999
